gpu,strike,hour,touch_price,terminal_tail_upper_normalized,wedge_lower_bound
B200,7.5,496204,0.553,0.09592326139088729,0.45707673860911274
B200,7.5,496205,0.553,0.09564801530368244,0.4573519846963176
B200,7.5,496206,0.553,0.09573958831977024,0.4572604116802298
B200,7.5,496207,0.553,0.09606147934678196,0.4569385206532181
B200,7.5,496208,0.553,0.09615384615384616,0.4568461538461539
B200,7.5,496209,0.553,0.09610764055742432,0.4568923594425757
B200,7.5,496210,0.553,0.09551098376313277,0.4574890162368673
B200,7.5,496211,0.553,0.09560229445506692,0.45739770554493314
B200,7.5,496212,0.553,0.09569377990430623,0.4573062200956938
B200,7.5,496213,0.553,0.09578544061302682,0.4572145593869732
B200,7.5,496214,0.5525,0.09573958831977024,0.45676041168022974
B200,7.5,496215,0.553,0.09569377990430623,0.4573062200956938
B200,7.5,496216,0.5535,0.09555661729574774,0.4579433827042523
B200,7.5,496217,0.553,0.09555661729574774,0.45744338270425233
B200,7.5,496218,0.553,0.09578544061302682,0.4572145593869732
B200,7.5,496219,0.553,0.09532888465204958,0.45767111534795046
B200,7.5,496220,0.553,0.09541984732824428,0.4575801526717558
B200,7.5,496221,0.553,0.09537434430138293,0.45762565569861713
B200,7.5,496222,0.553,0.09541984732824428,0.4575801526717558
B200,7.5,496223,0.553,0.09592326139088729,0.45707673860911274
B200,7.5,496224,0.5535,0.09555661729574774,0.4579433827042523
B200,7.5,496225,0.5085,0.09551098376313277,0.4129890162368672
B200,7.5,496226,0.51,0.0954653937947494,0.4145346062052506
B200,7.5,496227,0.5095,0.09657170449058426,0.4129282955094157
B200,7.5,496228,0.5105,0.09596928982725528,0.4145307101727447
B200,7.5,496229,0.5115,0.0958772770853308,0.4156227229146692
B200,7.5,496230,0.5105,0.09756097560975611,0.4129390243902438
B200,7.5,496231,0.5105,0.09741841207988311,0.41308158792011684
B200,7.5,496232,0.5115,0.097323600973236,0.41417639902676395
B200,7.5,496233,0.5095,0.0984251968503937,0.41107480314960626
B200,7.5,496234,0.51,0.09799118079372858,0.4120088192062714
B200,7.5,496235,0.5105,0.09760858955588092,0.41289141044411903
B200,7.5,496236,0.5145,0.09799118079372858,0.41650881920627136
B200,7.5,496237,0.5135,0.09737098344693283,0.4161290165530671
B200,7.5,496238,0.5125,0.09794319294809012,0.41455680705190984
B200,7.5,496239,0.511,0.09765625,0.41334375
B200,7.5,496240,0.5125,0.09760858955588092,0.41489141044411904
B200,7.5,496241,0.5135,0.09891196834817012,0.41458803165182984
B200,7.5,496242,0.5135,0.09828009828009827,0.4152199017199017
B200,7.5,496243,0.5125,0.09832841691248773,0.41417158308751223
B200,7.5,496244,0.5135,0.09891196834817012,0.41458803165182984
B200,7.5,496245,0.514,0.0984251968503937,0.4155748031496063
B200,7.5,496246,0.513,0.09891196834817012,0.4140880316518299
B200,7.5,496247,0.5135,0.09837678307919331,0.41512321692080667
B200,7.5,496248,0.512,0.09789525208027411,0.4141047479197259
B200,7.5,496249,0.534,0.09789525208027411,0.4361047479197259
B200,7.5,496250,0.5305,0.09784735812133073,0.43265264187866925
B200,7.5,496251,0.536,0.10223953261927946,0.4337604673807206
B200,7.5,496252,0.5335,0.1027900146842878,0.43070998531571214
B200,7.5,496253,0.531,0.10228933268387726,0.4287106673161228
B200,7.5,496254,0.5315,0.1023391812865497,0.42916081871345024
B200,7.5,496255,0.5315,0.1023391812865497,0.42916081871345024
B200,7.5,496256,0.5235,0.10284035259549462,0.42065964740450534
B200,7.5,496257,0.5295,0.10284035259549462,0.42665964740450535
B200,7.5,496258,0.5295,0.10284035259549462,0.42665964740450535
B200,7.5,496259,0.533,0.10263929618768329,0.4303607038123167
B200,7.5,496260,0.5315,0.10214007782101167,0.42935992217898833
B200,7.5,496261,0.53,0.10164569215876089,0.4283543078412391
B200,7.5,496262,0.531,0.10329562223315297,0.42770437776684705
B200,7.5,496263,0.532,0.10334645669291338,0.42865354330708666
B200,7.5,496264,0.5315,0.10339734121122598,0.42810265878877396
B200,7.5,496265,0.534,0.10344827586206898,0.4305517241379311
B200,7.5,496266,0.532,0.10355029585798817,0.4284497041420119
B200,7.5,496267,0.5225,0.10360138135175134,0.4188986186482486
B200,7.5,496268,0.5245,0.10416666666666666,0.42033333333333334
B200,7.5,496269,0.523,0.10432190760059612,0.4186780923994039
B200,7.5,496270,0.5225,0.10452961672473868,0.41797038327526126
B200,7.5,496271,0.5225,0.10452961672473868,0.41797038327526126
B200,7.5,496272,0.5245,0.10437375745526839,0.4201262425447316
B200,7.5,496273,0.5245,0.10432190760059612,0.42017809239940385
B200,7.5,496274,0.5245,0.10437375745526839,0.4201262425447316
B200,7.5,496275,0.522,0.10452961672473868,0.4174703832752613
B200,7.5,496276,0.5325,0.1045816733067729,0.42791832669322705
B200,7.5,496277,0.53,0.1046337817638266,0.42536621823617343
B200,7.5,496278,0.531,0.1046337817638266,0.42636621823617343
B200,7.5,496279,0.5305,0.10473815461346633,0.4257618453865336
B200,7.5,496280,0.5305,0.10473815461346633,0.4257618453865336
B200,7.5,496281,0.5215,0.1051051051051051,0.4163948948948949
B200,7.5,496282,0.52,0.10505252626313155,0.41494747373686847
B200,7.5,496283,0.519,0.105,0.41400000000000003
B200,7.5,496284,0.517,0.10243902439024391,0.41456097560975613
B200,7.5,496285,0.516,0.10096153846153845,0.4150384615384616
B200,7.5,496286,0.513,0.10062290368950645,0.4123770963104936
B200,7.5,496287,0.512,0.10228933268387726,0.40971066731612277
B200,7.5,496288,0.512,0.10299166257969591,0.40900833742030407
B200,7.5,496289,0.512,0.10329562223315297,0.40870437776684704
B200,7.5,496290,0.512,0.10401188707280831,0.4079881129271917
B200,7.5,496291,0.512,0.10294117647058823,0.4090588235294118
B200,7.5,496292,0.5115,0.10263929618768329,0.40886070381231665
B200,7.5,496293,0.5115,0.10273972602739725,0.40876027397260273
B200,7.5,496294,0.5115,0.10365251727541955,0.4078474827245804
B200,7.5,496295,0.5115,0.1027900146842878,0.4087099853157121
B200,7.5,496296,0.5115,0.10258915486077184,0.4089108451392281
B200,7.5,496297,0.5115,0.10268948655256724,0.4088105134474327
B200,7.5,496298,0.5115,0.10258915486077184,0.4089108451392281
B200,7.5,496299,0.5115,0.1025390625,0.40896093749999995
B200,7.5,496300,0.5115,0.10273972602739725,0.40876027397260273
B200,7.5,496301,0.522,0.10263929618768329,0.4193607038123167
B200,7.5,496302,0.522,0.10334645669291338,0.41865354330708665
B200,7.5,496303,0.522,0.1025390625,0.4194609375
B200,7.5,496304,0.522,0.10299166257969591,0.4190083374203041
B200,7.5,496305,0.5215,0.10268948655256724,0.4188105134474327
B200,7.5,496306,0.5345,0.102890739833415,0.43160926016658496
B200,7.5,496307,0.5345,0.10304219823356232,0.43145780176643767
B200,7.5,496308,0.5285,0.10294117647058823,0.42555882352941177
B200,7.5,496309,0.526,0.10299166257969591,0.4230083374203041
B200,7.5,496310,0.526,0.1037037037037037,0.42229629629629634
B200,7.5,496311,0.526,0.09190371991247263,0.4340962800875274
B200,7.5,496312,0.526,0.09366636931311328,0.43233363068688674
B200,7.5,496313,0.526,0.09024495058014612,0.4357550494198539
B200,7.5,496314,0.526,0.09020618556701031,0.4357938144329897
B200,7.5,496315,0.5245,0.09226713532513181,0.43223286467486816
B200,7.5,496316,0.524,0.09593421653723161,0.4280657834627684
B200,7.5,496317,0.5235,0.09446693657219973,0.42903306342780023
B200,7.5,496318,0.524,0.09032258064516129,0.4336774193548387
B200,7.5,496319,0.524,0.08985879332477534,0.4341412066752247
B200,7.5,496320,0.5235,0.09206488382288469,0.4314351161771153
B200,7.5,496321,0.535,0.09263343625937362,0.44236656374062644
B200,7.5,496322,0.535,0.09182334936598163,0.4431766506340184
B200,7.5,496323,0.535,0.09247027741083223,0.4425297225891678
