ticker,event,gpu,rule,actual_rule,base_outcome,direction,radius_log,radius_pct
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,touch,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXA100W-26JUL03-1.03,KXA100W-26JUL03,a100-sxm4,touch,terminal,no,down,,
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,terminal,terminal,no,up,0.0287101058824,2.91262135922
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,terminal,terminal,no,down,,
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,mean5,terminal,no,up,0.185552577375,20.3883495146
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,mean5,terminal,no,down,,
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,median7,terminal,no,up,,
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,median7,terminal,no,down,,
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,month_mean,terminal,no,up,0.219362828474,24.5283018868
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,month_mean,terminal,no,down,,
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,touch,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXA100W-26JUN26-1.06,KXA100W-26JUN26,a100-sxm4,touch,terminal,no,down,,
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,terminal,terminal,yes,up,,
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,terminal,terminal,yes,down,0.146982190349,15.8333333333
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,mean5,terminal,yes,up,,
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,mean5,terminal,yes,down,0.622333425921,86.327077748
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,median7,terminal,yes,up,,
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,median7,terminal,yes,down,,
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,month_mean,terminal,yes,up,,
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,month_mean,terminal,yes,down,0.580332501946,78.6632390746
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,touch,terminal,yes,up,,
KXB200W-26AUG21-6,KXB200W-26AUG21,b200,touch,terminal,yes,down,,
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,terminal,terminal,yes,up,,
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,terminal,terminal,yes,down,0.0408219945203,4.16666666667
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,mean5,terminal,yes,up,,
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,mean5,terminal,yes,down,0.0219048353881,2.21465076661
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,median7,terminal,no,up,,
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,median7,terminal,no,down,,
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,month_mean,terminal,yes,up,,
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,month_mean,terminal,yes,down,0.0066889881508,0.671140939597
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,touch,terminal,yes,up,,
KXB200W-26AUG14-5.76,KXB200W-26AUG14,b200,touch,terminal,yes,down,,
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,terminal,terminal,no,up,0.106921796225,11.2847222222
